idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
25,Liver cancer,"['Sharp abdominal pain', 'Upper abdominal pain', 'Stomach bloating', 'Changes in stool appearance', 'Decreased appetite', 'Unusual color or odor to urine', 'Increased heart rate', 'Kidney mass', 'Swollen abdomen', 'Symptoms of prostate', 'Leg stiffness or tightness', 'Groin mass']","Liver cancer or hepatic cancer (from the Greek h\xc4\x93par, meaning liver) is a cancer that originates in the liver. Liver cancers are malignant tumors that grow on the surface or inside the liver. Liver tumors are discovered on medical imaging equipment (often by accident) or present themselves symptomatically as an abdominal mass, abdominal pain, jaundice, nausea or liver dysfunction. Liver cancers should not be confused with liver metastases, which are cancers that originate from organs elsewhere in the body and migrate to the liver. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'X-ray computed tomography (Scan ct)', 'Ultrasonography (Ultrasound)', 'Biopsy']","['Spironolactone', 'Oxycodone', 'Tacrolimus (Prograf)', 'Lactulose', 'Sorafenib', 'Dexamethasone', 'Aprepitant (Emend)', 'Gemcitabine (Gemzar)', 'Valganciclovir (Valcyte)', 'Palonosetron (Aloxi)', 'Mycophenolate Mofetil (Cellcept)', 'Nystatin Topical Product']",disease
26,Atelectasis,"['Cough', 'Shortness of breath', 'Sharp chest pain', 'Fever', 'Nasal congestion', 'Dizziness', 'Sore throat', 'Sharp abdominal pain', 'Difficulty breathing', 'Rib pain', 'Ache all over', 'Headache']","Atelectasis (from Greek: \xe1\xbc\x80\xcf\x84\xce\xb5\xce\xbb\xce\xae\xcf\x82, ""incomplete"" + \xe1\xbc\x94\xce\xba\xcf\x84\xce\xb1\xcf\x83\xce\xb9\xcf\x82, ""extension"") is defined as the collapse or closure of the lung resulting in reduced or absent gas exchange . It may affect part or all of one lung. It is a condition where the alveoli are deflated, as distinct from pulmonary consolidation. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Intravenous fluid replacement']","['Guaifenesin (Mucinex)', 'Cilostazol', 'Tiotropium (Spiriva)', 'Factor Ix Complex (Obsolete)', 'Lactase', 'Iodine (I-Deal)', 'Pancreatin', 'Filgrastim (Neupogen)', 'Darbepoetin Alfa (Aranesp)', 'Olopatadine Ophthalmic', 'Cefuroxime']",symptom
27,Injury to the hand,"['Hand or finger pain', 'Hand or finger swelling', 'Wrist pain', 'Hand or finger stiffness or tightness', 'Joint pain', 'Skin growth', 'Muscle stiffness or tightness', 'Pallor', 'Focal weakness', 'Symptoms of the face', 'Wrist swelling', 'Hand or finger lump or mass']","The hand is a very complex organ with multiple joints, different types of ligament, tendons and nerves. With constant use, it is no wonder that hand disease injuries are common in society. Hand injuries can result from excessive use, degenerative disorders or trauma. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Physical therapy exercises (Exercises)', 'Occupational therapy assessment (Speech therapy)']","['Etodolac', 'Etanercept (Enbrel)', 'Propoxyphene', 'Capsaicin Topical', 'Dapsone']",symptom
28,Choledocholithiasis,"['Sharp abdominal pain', 'Upper abdominal pain', 'Vomiting', 'Nausea', 'Sharp chest pain', 'Back pain', 'Diarrhea', 'Jaundice', 'Side pain', 'Chills', 'Unusual color or odor to urine', 'Decreased appetite']","A gallstone is a crystalline concretion formed within the gallbladder by accretion of bile components. These calculi are formed in the gallbladder but may distally pass into other parts of the biliary tract such as the cystic duct, common bile duct, pancreatic duct, or the ampulla of Vater. Rarely, in cases of severe inflammation, gallstones may erode through the gallbladder into adherent bowel potentially causing an obstruction termed gallstone ileus. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Midazolam (Versed)', 'Zosyn', 'Ampicillin', 'Mivacurium', 'Plasma Protein Fraction (Plasmanate)', 'Vitamin K 1 (Mephyton)', 'Desipramine', 'Cinacalcet (Sensipar)', 'Barium Sulfate', 'Sulfamethoxazole (Bactrim)']",disease
29,Injury to the hip,"['Hip pain', 'Leg pain', 'Neck pain', 'Groin pain', 'Lower body pain', 'Hand or finger swelling', 'Peripheral edema', 'Leg swelling', 'Problems with movement']",General or unspecified injuries involving the hip. ,"['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement', 'CAT scan of head (Head ct)', 'Application of splint (Splinting)']","['Hydrocodone', 'Metaxalone (Skelaxin)', 'Calcium Acetate', 'Hydroxychloroquine (Plaquenil)', 'Rosiglitazone (Avandia)', 'Glucosamine', 'Malathion Topical', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation""]",symptom
30,Cirrhosis,"['Sharp abdominal pain', 'Shortness of breath', 'Peripheral edema', 'Fatigue', 'Upper abdominal pain', 'Abdominal distention', 'Stomach bloating', 'Blood in stool', 'Regurgitation', 'Symptoms of the kidneys', 'Vomiting blood', 'Melena']","Cirrhosis /s\xc9\xaa\xcb\x88ro\xca\x8as\xc9\xaas/ is a consequence of chronic liver disease characterized by replacement of liver tissue by fibrosis, scar tissue and regenerative nodules (lumps that occur as a result of a process in which damaged tissue is regenerated), leading to loss of liver function. Cirrhosis is most commonly caused by alcoholism, hepatitis B and hepatitis C, and fatty liver disease, but has many other possible causes. Some cases are idiopathic (i.e., of unknown cause). ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Lipid panel', 'Liver function tests (Liver test)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Furosemide', 'Spironolactone', 'Lactulose', 'Tacrolimus (Prograf)', 'Nadolol', 'Mycophenolate Mofetil (Cellcept)', 'Propranolol', 'Thiamine', 'Methadone', 'Ursodiol (Urso)', 'Epoetin Alfa (Procrit)', 'Peginterferon Alfa-2B (Sylatron)']",disease
31,Thoracic aortic aneurysm,"['Sharp chest pain', 'Dizziness', 'Back pain', 'Shortness of breath', 'Sharp abdominal pain', 'Fatigue', 'Chest tightness', 'Unusual color or odor to urine', 'Flushing', 'Leg cramps or spasms', 'Coughing up sputum', 'Jaundice']",A thoracic aortic aneurysm is an aortic aneurysm that presents primarily in the thorax. ,"['Radiographic imaging procedure', 'Electrocardiogram', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)']","['Metoprolol', 'Nitroglycerin', 'Hydralazine', 'Labetalol', 'Esmolol', 'Pentoxifylline', 'Colchicine', 'Amiodarone', 'Nitroprusside', 'Estropipate (Ogen)', 'Dexamethasone Ophthalmic']",disease
32,Subdural hemorrhage,"['Headache', 'Dizziness', 'Problems with movement', 'Depressive or psychotic symptoms', 'Seizures', 'Vomiting', 'Facial pain', 'Disturbance of memory', 'Irritable infant', 'Abnormal movement of eyelid', 'Hostile behavior', 'Delusions or hallucinations']","A subdural hematoma (American spelling) or subdural haematoma (British spelling), also known as a subdural haemorrhage (SDH), is a type of hematoma, usually associated with traumatic brain injury. Blood gathers within the outermost meningeal layer, between the dura mater, which adheres to the skull, and the arachnoid mater, which envelops the brain. Usually resulting from tears in bridging veins which cross the subdural space, subdural hemorrhages may cause an increase in intracranial pressure (ICP), which can cause compression of and damage to delicate brain tissue. Subdural hematomas are often life-threatening when acute. Chronic subdural hematomas, however, have better prognosis if properly managed. ","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Plain x-ray (X ray)', 'CAT scan of head (Head ct)']","['Levetiracetam (Keppra)', 'Phenytoin (Dilantin)', 'Labetalol', 'Phenobarbital', 'Mannitol', 'Nicardipine', 'Vitamin K 1 (Mephyton)', 'Carbidopa', 'Rocuronium', 'Linezolid (Zyvox)', 'Dorzolamide Ophthalmic', 'Fosphenytoin']",symptom
33,Congenital rubella,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","Congenital rubella syndrome (CRS) can occur in a developing fetus of a pregnant woman who has contracted rubella during her first trimester. If infection occurs 0\xe2\x80\x9328 days before conception, there is a 43% chance the infant will be affected. If the infection occurs 0\xe2\x80\x9312 weeks after conception, there is a 51% chance the infant will be affected. ","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",disease
34,Diabetic retinopathy,"['Diminished vision', 'Spots or clouds in vision', 'Pain in eye', 'Lacrimation', 'Symptoms of eye', 'Eye redness', 'Foreign body sensation in eye', 'Itchiness of eye', 'Blindness', 'Bleeding from eye', 'Abnormal movement of eyelid', 'Double vision']","Diabetic retinopathy, () is retinopathy (damage to the retina) caused by complications of diabetes, which can eventually lead to blindness. It is an ocular manifestation of diabetes, a systemic disease, which affects up to 80 percent of all patients who have had diabetes for 10 years or more. Despite these intimidating statistics, research indicates that at least 90% of these new cases could be reduced if there was proper and vigilant treatment and monitoring of the eyes. The longer a person has diabetes, the higher his or her chances of developing diabetic retinopathy. ","['Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Repair of retinal tear; detachment', 'Other extraocular muscle and orbit therapeutic procedures', 'Other intraocular therapeutic procedures']","['Insulin', 'Insulin Glargine (Lantus)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Insulin, Aspart, Human (Novolog)', 'Brimonidine Ophthalmic', 'Prednisolone Ophthalmic', 'Bevacizumab (Avastin)', 'Rosiglitazone (Avandia)', 'Latanoprost', 'Gatifloxacin (Zymar)', 'Timolol']",disease
35,Fibromyalgia,"['Back pain', 'Ache all over', 'Neck pain', 'Muscle pain', 'Leg pain', 'Headache', 'Shoulder pain', 'Low back pain', 'Sharp chest pain', 'Arm pain', 'Hip pain', 'Fatigue']","Fibromyalgia (FM or FMS) is characterised by chronic widespread pain and allodynia (a heightened and painful response to pressure). Its exact cause is unknown but is believed to involve psychological, genetic, neurobiological and environmental factors. Fibromyalgia symptoms are not restricted to pain, leading to the use of the alternative term fibromyalgia syndrome for the condition. Other symptoms include debilitating fatigue, sleep disturbance, and joint stiffness. Some patients also report difficulty with swallowing, bowel and bladder abnormalities, numbness and tingling, and cognitive dysfunction. Fibromyalgia is frequently comorbid with psychiatric conditions such as depression and anxiety and stress-related disorders such as posttraumatic stress disorder. Not all fibromyalgia patients experience all associated symptoms. Fibromyalgia is estimated to affect 2\xe2\x80\x934% of the population, with a female to male incidence ratio of approximately 9:1. The term ""fibromyalgia"" derives from new Latin, fibro-, meaning ""fibrous tissues"", Greek myo-, ""muscle"", and Greek algos-, ""pain""; thus the term literally means ""muscle and connective tissue pain"". ","['Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Other therapeutic procedures', 'Mammography (Mammogram)', 'Depression screen (Depression screening)', 'Other physical therapy and rehabilitation', 'Bone density scan']","['Pregabalin (Lyrica)', 'Tizanidine', 'Nortriptyline', 'Milnacipran (Savella)', 'Chlorzoxazone', 'Oxymorphone (Opana)', 'Rifaximin', 'Cevimeline (Evoxac)', 'Clemastine (Tavist)', 'Naratriptan (Amerge)', 'Ergotamine']",disease
36,Ischemia of the bowel,"['Sharp abdominal pain', 'Vomiting', 'Diarrhea', 'Nausea', 'Rectal bleeding', 'Blood in stool', 'Lower abdominal pain', 'Constipation', 'Melena', 'Burning abdominal pain', 'Chills', 'Retention of urine']"," fentanyl, ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Electrolytes panel']","['Metronidazole', 'Fentanyl', 'Zosyn', 'Heparin', 'Meperidine (Demerol)', 'Mesalamine (Asacol)', 'Sucralfate (Carafate)', 'Oxygen', 'Sodium Phosphate', 'Guar Gum', 'Cefoxitin', 'Droperidol']",medication
37,Fetal alcohol syndrome,"['Excessive anger', 'Temper problems', 'Lack of growth', 'Eye redness', 'Depressive or psychotic symptoms', 'Hostile behavior', 'Smoking problems', 'Seizures', 'Coryza', 'Wrist weakness', 'Eye strain', 'Emotional symptoms']","Fetal alcohol syndrome (FAS) is a pattern of mental and physical defects that can develop in a fetus in association with high levels of alcohol consumption during pregnancy. Alcohol crosses the placental barrier and can stunt fetal growth or weight, create distinctive facial stigmata, damage neurons and brain structures, which can result in psychological or behavioral problems, and cause other physical damage. The main effect of FAS is permanent central nervous system damage, especially to the brain. Developing brain cells and structures can be malformed or have development interrupted by prenatal alcohol exposure; this can create an array of primary cognitive and functional disabilities (including poor memory, attention deficits, impulsive behavior, and poor cause-effect reasoning) as well as secondary disabilities (for example, predispositions to mental health problems and drug addiction). Alcohol exposure presents a risk of fetal brain damage at any point during a pregnancy, since brain development is ongoing throughout pregnancy. ","['Mental health counseling', 'Ophthalmologic and otologic diagnosis and treatment', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Adderall', 'Methylphenidate', 'Clonidine', 'Trazodone', 'Cyproheptadine', 'Guanfacine (Intuniv)', 'Nicotine', 'Atomoxetine (Strattera)', 'Olanzapine (Zyprexa)', 'Lamotrigine (Lamictal)', 'Risperidone']",disease
38,Peritonitis,"['Sharp abdominal pain', 'Nausea', 'Vomiting', 'Back pain', 'Fever', 'Shortness of breath', 'Lower abdominal pain', 'Upper abdominal pain', 'Side pain', 'Groin mass', 'Intermenstrual bleeding', 'Groin pain']","Peritonitis is an inflammation of the peritoneum, the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs. Peritonitis may be localized or generalised, and may result from infection (often due to rupture of a hollow organ as may occur in abdominal trauma or appendicitis) or from a non-infectious process. ","['Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Fentanyl', 'Vancomycin', 'Ceftazidime', 'Zosyn', 'Cinacalcet (Sensipar)', 'Rocuronium', 'Cefoxitin', 'Iohexol (Omnipaque)', 'Diatrizoate', 'Sennosides, Usp (Perdiem)']",disease
39,Injury to the abdomen,"['Sharp abdominal pain', 'Sharp chest pain', 'Back pain', 'Burning abdominal pain', 'Upper abdominal pain', 'Lower abdominal pain', 'Leg pain', 'Neck pain', 'Pain during pregnancy', 'Side pain', 'Problems during pregnancy', 'Blood in urine']"," bisacodyl (the magic bullet), ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Urinalysis', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Vecuronium', 'Bisacodyl (The Magic Bullet)', 'Memantine (Namenda)', 'Sennosides, Usp (Perdiem)', 'Zosyn', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",medication
40,Acute pancreatitis,"['Sharp abdominal pain', 'Vomiting', 'Nausea', 'Upper abdominal pain', 'Diarrhea', 'Sharp chest pain', 'Burning abdominal pain', 'Back pain', 'Side pain', 'Abusing alcohol', 'Lower body pain', 'Hemoptysis']","Acute pancreatitis or acute pancreatic necrosis is a sudden inflammation of the pancreas. It can have severe complications and high mortality despite treatment. While mild cases are often successfully treated with conservative measures, such as NPO (nil per os, fasting) and aggressive intravenous fluid rehydration, severe cases may require admission to the intensive care unit or even surgery to deal with complications of the disease process. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)', 'Urinalysis']","['Ondansetron (Zofran)', 'Hydromorphone (Dilaudid)', 'Zosyn', 'Diatrizoate', 'Chlordiazepoxide', 'Pancrelipase (Pancrease)', 'Pancreatin', 'Iohexol (Omnipaque)', 'Cefotetan', 'Benzylpenicilloyl Polylysine (Pre-Pen)', 'Glucagon']",disease
41,Thrombophlebitis,"['Leg pain', 'Leg swelling', 'Arm pain', 'Abnormal appearing skin', 'Arm swelling', 'Foot or toe pain', 'Ache all over', 'Lymphedema', 'Skin on leg or foot looks infected', 'Skin swelling', 'Leg cramps or spasms', 'Hand or finger swelling']","Thrombophlebitis is phlebitis (vein inflammation) related to a thrombus (blood clot). When it occurs repeatedly in different locations, it is known as ""Thrombophlebitis migrans"" or ""migrating thrombophlebitis"". ","['Radiographic imaging procedure', 'Ultrasonography (Ultrasound)', 'Wound care management', 'Prothrombin time assay (Prothrombin time)', 'Physical therapy exercises (Exercises)', 'Other OR procedures on vessels other than head and neck', 'Other vascular catheterization; not heart']","['Enoxaparin (Lovenox)', 'Indomethacin', 'Propoxyphene', 'Sodium Bicarbonate', 'Mequinol-Tretinoin Topical', 'Factor Ix Complex (Obsolete)', 'Sertaconazole Topical', 'Ephedrine (Kie)', 'Flumazenil', 'Deferasirox (Exjade)', 'Itraconazole', 'Diclofenac Topical Product']",disease
42,Asthma,"['Cough', 'Shortness of breath', 'Wheezing', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Sharp chest pain', 'Coryza', 'Chest tightness', 'Allergic reaction', 'Coughing up sputum', 'Congestion in chest']","Asthma (from the Greek \xe1\xbc\x85\xcf\x83\xce\xb8\xce\xbc\xce\xb1, \xc3\xa1sthma, ""panting"") is a common chronic inflammatory disease of the airways characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm. Common symptoms include wheezing, coughing, chest tightness, and shortness of breath. ","['Plain x-ray (X ray)', 'Nebulizer therapy', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Arterial blood gases (ABGs)', 'Influenzavirus antibody assay', 'Other respiratory therapy', 'Other diagnostic procedures on skin and subcutaneous tissue']","['Albuterol', 'Prednisone', 'Montelukast (Singulair)', 'Fluticasone Nasal Product', 'Ipratropium', 'Prednisolone', 'Budesonide', 'Levalbuterol (Xopenex)', 'Combivent', 'Beclomethasone Nasal Product', 'Terbutaline']",symptom
43,Foreign body in the vagina,"['Vaginal discharge', 'Pelvic pain', 'Painful urination', 'Lower abdominal pain', 'Skin lesion', 'Back weakness', 'Pus in sputum', 'Emotional symptoms', 'Muscle swelling', 'Pus in urine', 'Abnormal size or shape of ear', 'Low back weakness']"," miconazole topical product, ","['Nonoperative removal of foreign body', 'Pelvis exam', 'Standard pregnancy test', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Levonorgestrel', 'Miconazole Topical Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation"", 'Isocarboxazid (Marplan)', 'Medrysone Ophthalmic']",medication
44,Restless leg syndrome,"['Abnormal involuntary movements', 'Leg pain', 'Headache', 'Sleepiness', 'Apnea', 'Fatigue', 'Abnormal breathing sounds', 'Depression', 'Back pain', 'Difficulty breathing', 'Loss of sensation', 'Insomnia']","Restless Legs Syndrome (RLS), also known as Willis-Ekbom disease (WED), is a neurological disorder characterized by an irresistible urge to move one\'s body to stop uncomfortable or odd sensations. It most commonly affects the legs, but can affect the arms, torso, head, and even phantom limbs. Moving the affected body part modulates the sensations, providing temporary relief. ","['Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Magnetic resonance imaging (Mri)', 'Examination of foot', 'Depression screen (Depression screening)']","['Ropinirole', 'Pramipexole (Mirapex)', 'Gabapentin', 'Modafinil (Provigil)', 'Tizanidine', 'Rizatriptan (Maxalt)', 'Sitagliptin (Januvia)', 'Ramelteon (Rozerem)', 'Primidone', 'Doxepin', 'Solifenacin (Vesicare)']",symptom
45,Emphysema,"['Sharp chest pain', 'Shortness of breath', 'Chest tightness', 'Cough', 'Nausea', 'Ache all over', 'Back pain', 'Cross-eyed', 'Itchy eyelid', 'Excessive growth', 'Emotional symptoms', 'Elbow cramps or spasms']","Emphysema is a long-term lung disease. In people with emphysema, the tissues necessary to support the shape and function of the lungs are destroyed. It is included in a group of diseases called chronic obstructive pulmonary disease or COPD. Emphysema is called an obstructive lung disease because the destruction of lung tissue around smaller sacs, called alveoli, makes these air sacs unable to hold their functional shape upon exhalation. Emphysema is most often caused by tobacco smoking and long-term exposure to air pollution. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Sodium Chloride (Deep Sea)', 'Diphenhydramine (Benadryl)', 'Hydromorphone (Dilaudid)', 'Sucralfate (Carafate)', 'Nicotine', 'Zosyn', 'Epinephrine', 'Budesonide', 'Adderall', 'Losartan', 'Combivent', 'Penicillin']",disease
46,Cysticercosis,"['Seizures', 'Headache', 'Vomiting', 'Shortness of breath', 'Abnormal involuntary movements', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth', 'Underweight', 'Low back weakness', 'Wrist weakness', 'Feeling hot and cold']","Cysticercosis refers to tissue infection after exposure to eggs of Taenia solium, the pork tapeworm. The disease is spread via the fecal-oral route through contaminated food and water, and is primarily a food borne disease. After ingestion the eggs pass through the lumen of the intestine into the tissues and migrate preferentially to the brain and muscles. There they form cysts that can persist for years. In some cases the cysts will eventually cause an inflammatory reaction presenting as painful nodules in the muscles and seizures when the cysts are located in the brain. Symptomatic disease from Taenia solium cysts in the brain is referred to as neurocysticercosis and is the most common tapeworm infection of the brain worldwide. Cysticercosis should be differentiated from taeniasis: carriage of the adult tapeworm in the intestine (which is through ingestion of cysts in an intermediate host, not the ingestion of the eggs as in cysticercosis). These represent two different stages of the parasite\xe2\x80\x99s life cycle. Though both forms of infection can potentially occur in the same individual at the same time, they are distinct disease entities and have different treatments and potential outcomes. ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Magnetic resonance imaging (Mri)', 'Glucose measurement (Glucose level)', 'CAT scan of head (Head ct)']","['Phenytoin (Dilantin)', 'Levetiracetam (Keppra)', 'Calcium Carbonate', 'Metoclopramide', 'Albendazole', 'Desipramine', 'Magnesium Sulfate', 'Nortriptyline', 'Carbamazepine', 'Folic Acid', 'Mecamylamine']",disease
47,Induced abortion,"['Spotting or bleeding during pregnancy', 'Sharp abdominal pain', 'Pain during pregnancy', 'Cramps and spasms', 'Lower abdominal pain', 'Pelvic pain', 'Problems during pregnancy', 'Intermenstrual bleeding', 'Vaginal discharge', 'Blood clots during menstrual periods', 'Groin pain', 'Absence of menstruation']","Abortion is the termination of pregnancy by the removal or expulsion from the uterus of a fetus or embryo prior to viability. An abortion can occur spontaneously, in which case it is usually called a miscarriage, or it can be purposely induced. The term abortion most commonly refers to the induced abortion of a human pregnancy. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Radiographic imaging procedure', 'Standard pregnancy test', 'Intravenous fluid replacement', 'Pelvis exam']","['Methylergonovine (Methergine)', 'Rho(D) Immune Globulin (Rhogam)', 'Misoprostol', 'Nonoxynol 9 Topical', 'Propylthiouracil', 'Human Chorionic Gonadotropin (Hcg)', 'Oxytocin', 'Norethindrone (Loestrin Fe)', 'Levonorgestrel']",test
48,Teething syndrome,"['Fever', 'Pulling at ears', 'Cough', 'Irritable infant', 'Nasal congestion', 'Diarrhea', 'Ear pain', 'Gum pain', 'Symptoms of infants', 'Temper problems', 'Redness in ear', 'Decreased appetite']"," pneumococcal 7-valent conjugate vaccine (prevnar), ","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ophthalmic examination and evaluation (Eye exam)']","['Rotavirus Vaccines (Rotavirus Vaccine)', 'Pneumococcal 7-Valent Conjugate Vaccine (Prevnar)', 'Benzocaine Topical', 'Mumps Vaccine', 'Sodium Citrate', 'Measles Vaccine', 'Rubella Virus Vaccine', 'Purified Protein Derivative Of Tuberculin (Tubersol)', 'Cholestyramine Resin (Questran)']",medication
49,Infectious gastroenteritis,"['Vomiting', 'Diarrhea', 'Nausea', 'Sharp abdominal pain', 'Fever', 'Burning abdominal pain', 'Headache', 'Blood in stool', 'Decreased appetite', 'Chills', 'Fluid retention', 'Flu-like syndrome']","Gastroenteritis is a medical condition characterized by inflammation (""-itis"") of the gastrointestinal tract that involves both the stomach (""gastro""-) and the small intestine (""entero""-), resulting in some combination of diarrhea, vomiting, and abdominal pain and cramping. Gastroenteritis has also been referred to as gastro, stomach bug, and stomach virus. Although unrelated to influenza, it has also been called stomach flu and gastric flu. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Urinalysis', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Loperamide (Imodium)', 'Trimethobenzamide (Tigan)', 'Bismuth Subsalicylate (Pepto-Bismol)', 'Lactobacillus Acidophilus And Bulgaricus', 'Sodium Citrate', 'Sodium Hypochlorite Topical', 'Dimenhydrinate (Dramamine)', 'Pepsin A', 'Betamethasone']",disease
50,Acute sinusitis,"['Cough', 'Nasal congestion', 'Sore throat', 'Headache', 'Frontal headache', 'Coryza', 'Fever', 'Ear pain', 'Sinus congestion', 'Painful sinuses', 'Facial pain', 'Coughing up sputum']","Sinusitis or rhinosinusitis is inflammation of the paranasal sinuses. It can be due to infection, allergy, or autoimmune issues. Most cases are due to a viral infection and resolve over the course of 10 days. It is a common condition, with over 24 million cases annually in the U.S. ","['Other diagnostic procedures (interview; evaluation; consultation)', 'CAT scan of head (Head ct)', 'Influenzavirus antibody assay', 'Other respiratory therapy', 'Physical therapy exercises; manipulation; and other procedures']","['Amoxicillin', 'Augmentin', 'Guaifenesin (Mucinex)', 'Clarithromycin', 'Cefdinir', 'Pseudoephedrine (Pcm-La)', 'Cefuroxime', 'Robitussin Ac', 'Oxymetazoline Nasal', 'Triamcinolone Nasal Product']",disease
